"X" "Y"
11.1196 44.565
11.1826 44.565
11.1826 44.52
11.1196 44.52
11.1196 44.565
NA NA
11.1827 44.565
11.2457 44.565
11.2457 44.52
11.1827 44.52
11.1827 44.565
NA NA
11.2457 44.565
11.3087 44.565
11.3087 44.52
11.2457 44.52
11.2457 44.565
NA NA
11.3088 44.565
11.3718 44.565
11.3718 44.52
11.3088 44.52
11.3088 44.565
NA NA
11.3718 44.565
11.4348 44.565
11.4348 44.52
11.3718 44.52
11.3718 44.565
NA NA
11.4349 44.565
11.4979 44.565
11.4979 44.52
11.4349 44.52
11.4349 44.565
NA NA
11.4979 44.565
11.5609 44.565
11.5609 44.52
11.4979 44.52
11.4979 44.565
NA NA
11.561 44.565
11.624 44.565
11.624 44.52
11.561 44.52
11.561 44.565
NA NA
11.624 44.565
11.687 44.565
11.687 44.52
11.624 44.52
11.624 44.565
NA NA
11.6871 44.565
11.7501 44.565
11.7501 44.52
11.6871 44.52
11.6871 44.565
NA NA
11.7501 44.565
11.8131 44.565
11.8131 44.52
11.7501 44.52
11.7501 44.565
NA NA
11.1196 44.61
11.1826 44.61
11.1826 44.565
11.1196 44.565
11.1196 44.61
NA NA
11.1827 44.61
11.2457 44.61
11.2457 44.565
11.1827 44.565
11.1827 44.61
NA NA
11.2457 44.61
11.3087 44.61
11.3087 44.565
11.2457 44.565
11.2457 44.61
NA NA
11.3088 44.61
11.3718 44.61
11.3718 44.565
11.3088 44.565
11.3088 44.61
NA NA
11.3718 44.61
11.4348 44.61
11.4348 44.565
11.3718 44.565
11.3718 44.61
NA NA
11.4349 44.61
11.4979 44.61
11.4979 44.565
11.4349 44.565
11.4349 44.61
NA NA
11.4979 44.61
11.5609 44.61
11.5609 44.565
11.4979 44.565
11.4979 44.61
NA NA
11.561 44.61
11.624 44.61
11.624 44.565
11.561 44.565
11.561 44.61
NA NA
11.624 44.61
11.687 44.61
11.687 44.565
11.624 44.565
11.624 44.61
NA NA
11.6871 44.61
11.7501 44.61
11.7501 44.565
11.6871 44.565
11.6871 44.61
NA NA
11.7501 44.61
11.8131 44.61
11.8131 44.565
11.7501 44.565
11.7501 44.61
NA NA
11.1196 44.655
11.1826 44.655
11.1826 44.61
11.1196 44.61
11.1196 44.655
NA NA
11.1827 44.655
11.2457 44.655
11.2457 44.61
11.1827 44.61
11.1827 44.655
NA NA
11.2457 44.655
11.3087 44.655
11.3087 44.61
11.2457 44.61
11.2457 44.655
NA NA
11.3088 44.655
11.3718 44.655
11.3718 44.61
11.3088 44.61
11.3088 44.655
NA NA
11.3718 44.655
11.4348 44.655
11.4348 44.61
11.3718 44.61
11.3718 44.655
NA NA
11.4349 44.655
11.4979 44.655
11.4979 44.61
11.4349 44.61
11.4349 44.655
NA NA
11.4979 44.655
11.5609 44.655
11.5609 44.61
11.4979 44.61
11.4979 44.655
NA NA
11.561 44.655
11.624 44.655
11.624 44.61
11.561 44.61
11.561 44.655
NA NA
11.624 44.655
11.687 44.655
11.687 44.61
11.624 44.61
11.624 44.655
NA NA
11.6871 44.655
11.7501 44.655
11.7501 44.61
11.6871 44.61
11.6871 44.655
NA NA
11.7501 44.655
11.8131 44.655
11.8131 44.61
11.7501 44.61
11.7501 44.655
NA NA
11.1196 44.7
11.1826 44.7
11.1826 44.655
11.1196 44.655
11.1196 44.7
NA NA
11.1827 44.7
11.2457 44.7
11.2457 44.655
11.1827 44.655
11.1827 44.7
NA NA
11.2457 44.7
11.3087 44.7
11.3087 44.655
11.2457 44.655
11.2457 44.7
NA NA
11.3088 44.7
11.3718 44.7
11.3718 44.655
11.3088 44.655
11.3088 44.7
NA NA
11.3718 44.7
11.4348 44.7
11.4348 44.655
11.3718 44.655
11.3718 44.7
NA NA
11.4349 44.7
11.4979 44.7
11.4979 44.655
11.4349 44.655
11.4349 44.7
NA NA
11.4979 44.7
11.5609 44.7
11.5609 44.655
11.4979 44.655
11.4979 44.7
NA NA
11.561 44.7
11.624 44.7
11.624 44.655
11.561 44.655
11.561 44.7
NA NA
11.1196 44.745
11.1826 44.745
11.1826 44.7
11.1196 44.7
11.1196 44.745
NA NA
11.1827 44.745
11.2457 44.745
11.2457 44.7
11.1827 44.7
11.1827 44.745
NA NA
11.3088 44.745
11.3718 44.745
11.3718 44.7
11.3088 44.7
11.3088 44.745
NA NA
11.3718 44.745
11.4348 44.745
11.4348 44.7
11.3718 44.7
11.3718 44.745
NA NA
11.4349 44.745
11.4979 44.745
11.4979 44.7
11.4349 44.7
11.4349 44.745
NA NA
11.4979 44.745
11.5609 44.745
11.5609 44.7
11.4979 44.7
11.4979 44.745
NA NA
11.1196 44.79
11.1826 44.79
11.1826 44.745
11.1196 44.745
11.1196 44.79
NA NA
11.1827 44.79
11.2457 44.79
11.2457 44.745
11.1827 44.745
11.1827 44.79
